sample_name,species,split,T(degrees),t(day),delta_L(mm),delta_R(mm),delta_T(mm),volume(mm^3)_change_rate(%),weight(g)_change_rate(%),density(g/cm^3)_change_rate(%),EMC(%),delta_EMC(%),L*,a*,b*,delta_E*ab
A500,Cinnamomun camphora,train,120,4.0,-0.1737668559281872,0.0137329270687202,0.2083767451552547,0.0476501905299032,-1.8617133978388365,-1.9084542063032588,8.772687364163689,-6.948818735319618,63.02,7.75,24.99,5.526789303022136
A500,Cinnamomun camphora,train,120,4.0,-0.1737668559281872,0.0137329270687202,0.2083767451552547,0.0476501905299032,-1.8617133978388365,-1.9084542063032588,8.772687364163689,-6.948818735319618,59.11,8.79,23.07,5.375332547852275
A501,Cinnamomun camphora,test,120,4.0,0.0703709641016222,0.003392007718702,-0.0222469410456136,0.0516556351229795,-1.769375538070354,-1.8200909936307648,8.611842876287245,-8.654883134463116,65.52,6.69,24.67,5.8423796521622995
A501,Cinnamomun camphora,test,120,4.0,0.0703709641016222,0.003392007718702,-0.0222469410456136,0.0516556351229795,-1.769375538070354,-1.8200909936307648,8.611842876287245,-8.654883134463116,61.36,8.7,25.66,7.147069329452459
A502,Cinnamomun camphora,not assigned,120,4.0,0.0559975341355286,0.0286872297636859,0.2588795692244005,0.3437812574032269,-1.855672032070807,-2.1919178866022286,8.413802964587012,-10.755476368474532,63.33,8.0,24.87,6.179271801757873
A502,Cinnamomun camphora,not assigned,120,4.0,0.0559975341355286,0.0286872297636859,0.2588795692244005,0.3437812574032269,-1.855672032070807,-2.1919178866022286,8.413802964587012,-10.755476368474532,62.66,8.34,24.77,6.436792679588182
A503,Cinnamomun camphora,val,120,4.0,0.0082296364514409,0.011819931782108,0.1867995018680021,0.2068967507984606,-1.7119106733789722,-1.9148456707019328,8.476965374792405,-10.085517821319986,62.15,7.77,25.38,5.306920010703005
A503,Cinnamomun camphora,val,120,4.0,0.0082296364514409,0.011819931782108,0.1867995018680021,0.2068967507984606,-1.7119106733789722,-1.9148456707019328,8.476965374792405,-10.085517821319986,63.02,8.23,24.96,6.6770427585870715
A504,Cinnamomun camphora,not assigned,120,4.0,0.0099033019322912,0.0455445292915532,-0.0410466906105832,0.0143630335326489,-1.8873032625154813,-1.9013931983054664,8.424026153205782,-10.647039838392066,63.53,7.53,25.92,6.027387493765433
A504,Cinnamomun camphora,not assigned,120,4.0,0.0099033019322912,0.0455445292915532,-0.0410466906105832,0.0143630335326489,-1.8873032625154813,-1.9013931983054664,8.424026153205782,-10.647039838392066,60.61,8.47,23.88,6.3987967618920365
A505,Cinnamomun camphora,train,120,8.0,0.014804757900842,-0.1336081186684519,-0.1040799333888588,-0.2228127059246823,-1.9583079220710533,-1.7393707551920754,8.36978296753084,-11.22239289647906,59.44,8.71,24.45,7.905751071213916
A505,Cinnamomun camphora,train,120,8.0,0.014804757900842,-0.1336081186684519,-0.1040799333888588,-0.2228127059246823,-1.9583079220710533,-1.7393707551920754,8.36978296753084,-11.22239289647906,60.72,8.96,25.17,8.358564470051068
A506,Cinnamomun camphora,test,120,8.0,0.082650695422139,-0.1668957088082146,-0.3103020273065534,-0.3945613128573236,-1.7620945412290114,-1.3729503593343326,8.43205929102133,-10.5618329990315,60.29,8.36,24.41,7.371193933142714
A506,Cinnamomun camphora,test,120,8.0,0.082650695422139,-0.1668957088082146,-0.3103020273065534,-0.3945613128573236,-1.7620945412290114,-1.3729503593343326,8.43205929102133,-10.5618329990315,61.68,8.95,24.98,6.797609874066037
A507,Cinnamomun camphora,not assigned,120,8.0,0.0231128857415927,-0.1891834001643289,-0.144837575005166,-0.3107222209409632,-2.4526820398379945,-2.148636108734017,8.769514287529914,-6.982475301062774,60.07,8.4,23.98,7.575024752434804
A507,Cinnamomun camphora,not assigned,120,8.0,0.0231128857415927,-0.1891834001643289,-0.144837575005166,-0.3107222209409632,-2.4526820398379945,-2.148636108734017,8.769514287529914,-6.982475301062774,59.49,9.59,25.72,8.806071768955778
A508,Cinnamomun camphora,not assigned,120,8.0,-0.1583829067963702,-0.192213863789026,0.1650335224342446,-0.1857057384993565,-2.362505645693636,-2.180849870551969,8.719116583045706,-7.5170396529671475,58.49,9.35,24.97,7.433337070253176
A508,Cinnamomun camphora,not assigned,120,8.0,-0.1583829067963702,-0.192213863789026,0.1650335224342446,-0.1857057384993565,-2.362505645693636,-2.180849870551969,8.719116583045706,-7.5170396529671475,54.63,10.53,24.85,6.081521191281006
A509,Cinnamomun camphora,val,120,8.0,0.0146633627610964,-0.0950084304602419,-0.0914541205161931,-0.1717538115579278,-1.1787083940033964,-1.0086870408848727,8.822537549612184,-6.42006187328957,60.18,8.84,24.37,7.177833935108842
A509,Cinnamomun camphora,val,120,8.0,0.0146633627610964,-0.0950084304602419,-0.0914541205161931,-0.1717538115579278,-1.1787083940033964,-1.0086870408848727,8.822537549612184,-6.42006187328957,63.33,8.81,23.8,4.976675597223516
A510,Cinnamomun camphora,train,120,16.0,0.052406405516473,-0.1119154043404777,-0.3848490986428852,-0.4441677765962322,-3.29192499160126,-2.860462467547492,8.460806644534006,-10.25691215875226,53.44,9.61,23.5,10.413668901976864
A510,Cinnamomun camphora,train,120,16.0,0.052406405516473,-0.1119154043404777,-0.3848490986428852,-0.4441677765962322,-3.29192499160126,-2.860462467547492,8.460806644534006,-10.25691215875226,53.9,10.72,24.18,12.073586873833312
A511,Cinnamomun camphora,val,120,16.0,0.0427070725737183,-0.0992918181937878,-0.2897950734837556,-0.3462526380755807,-2.028483245573202,-1.688075613843271,8.408334843978887,-10.813476278965162,55.6,9.91,25.66,10.999068142347326
A511,Cinnamomun camphora,val,120,16.0,0.0427070725737183,-0.0992918181937878,-0.2897950734837556,-0.3462526380755807,-2.028483245573202,-1.688075613843271,8.408334843978887,-10.813476278965162,58.79,10.18,25.57,9.638718794528662
A512,Cinnamomun camphora,test,120,16.0,0.0263681642656569,-0.0930418188366173,-0.4471771939630983,-0.5135892286361956,-2.367198105448813,-1.863177958115832,8.103966224170826,-14.041889470655416,59.19,8.75,24.18,9.48189854406807
A512,Cinnamomun camphora,test,120,16.0,0.0263681642656569,-0.0930418188366173,-0.4471771939630983,-0.5135892286361956,-2.367198105448813,-1.863177958115832,8.103966224170826,-14.041889470655416,55.71,11.11,25.6,9.058526370221585
A513,Cinnamomun camphora,not assigned,120,16.0,0.0494220061828784,-0.0321256232532848,-0.4659349761855632,-0.4487362112371244,-2.850215366216001,-2.412304036716769,8.063360470875622,-14.472591392816197,62.58,8.37,23.12,7.367564047906202
A513,Cinnamomun camphora,not assigned,120,16.0,0.0494220061828784,-0.0321256232532848,-0.4659349761855632,-0.4487362112371244,-2.850215366216001,-2.412304036716769,8.063360470875622,-14.472591392816197,59.94,9.75,25.25,8.58415400607422
A514,Cinnamomun camphora,not assigned,120,16.0,0.0494883097338962,-0.0101433962038858,-0.2602811035919014,-0.2210715516745546,-2.82136311651523,-2.6060528062168324,8.011581585672715,-15.021805816252805,63.5,7.77,23.67,9.084321658770127
A514,Cinnamomun camphora,not assigned,120,16.0,0.0494883097338962,-0.0101433962038858,-0.2602811035919014,-0.2210715516745546,-2.82136311651523,-2.6060528062168324,8.011581585672715,-15.021805816252805,58.13,10.25,24.84,8.791097769903363
A515,Cinnamomun camphora,train,120,32.0,0.032911960286653,-0.0864512170199511,-0.3980404164115094,-0.4513511076334959,-2.4078797903505333,-1.9653995352889853,8.106369618598857,-14.016396861459429,60.95,8.78,24.03,12.171967794896597
